ID,SalePrice
1461,120639.43
1462,156283.19
1463,185507.0
1464,191152.64
1465,195990.69
1466,180528.23
1467,177230.1
1468,167753.28
1469,184061.98
1470,121417.836
1471,193539.48
1472,91449.31
1473,101641.21
1474,154719.11
1475,130973.984
1476,386875.4
1477,268883.7
1478,287200.8
1479,253148.23
1480,477881.88
1481,344914.84
1482,207643.3
1483,157127.11
1484,165200.86
1485,175938.78
1486,189776.72
1487,381947.97
1488,236621.05
1489,215698.34
1490,202945.27
1491,190315.92
1492,86610.55
1493,191346.17
1494,292956.12
1495,303048.12
1496,220876.27
1497,188485.28
1498,157693.95
1499,158504.23
1500,146840.38
1501,172268.97
1502,150237.61
1503,293382.5
1504,242767.73
1505,222239.53
1506,184597.78
1507,235800.83
1508,187491.02
1509,168627.94
1510,144488.16
1511,145401.72
1512,167823.69
1513,154120.92
1514,184302.97
1515,192470.98
1516,155574.02
1517,155386.3
1518,126844.98
1519,218599.64
1520,133500.8
1521,136198.16
1522,175304.17
1523,109255.16
1524,126094.414
1525,123941.59
1526,127191.91
1527,108567.67
1528,129935.9
1529,147173.75
1530,175666.67
1531,92168.14
1532,98260.98
1533,136692.61
1534,113888.68
1535,164760.47
1536,115762.84
1537,76999.74
1538,183084.9
1539,184571.38
1540,92360.75
1541,142537.6
1542,137664.75
1543,230420.69
1544,74428.14
1545,105120.28
1546,132396.47
1547,133326.36
1548,139316.08
1549,123718.64
1550,141515.52
1551,109933.8
1552,126379.266
1553,143527.5
1554,116257.38
1555,169574.56
1556,81218.03
1557,100443.93
1558,82539.84
1559,93487.52
1560,139112.28
1561,133320.52
1562,129102.4
1563,118933.67
1564,154579.73
1565,158461.75
1566,237500.47
1567,75862.09
1568,218233.03
1569,137902.86
1570,130931.4
1571,122193.34
1572,144726.88
1573,237184.94
1574,103836.55
1575,210623.56
1576,223470.28
1577,195627.67
1578,149145.81
1579,147889.92
1580,191032.02
1581,149075.14
1582,125970.86
1583,339332.1
1584,230234.84
1585,139769.2
1586,66553.63
1587,102551.586
1588,149211.1
1589,102754.83
1590,135017.92
1591,95567.26
1592,124020.586
1593,123623.586
1594,128062.164
1595,111519.086
1596,233970.5
1597,177250.38
1598,195254.7
1599,185632.81
1600,181444.06
1601,63302.15
1602,103789.914
1603,97844.39
1604,268372.84
1605,252138.69
1606,172721.03
1607,151242.31
1608,211792.81
1609,192417.42
1610,153361.86
1611,145904.7
1612,160324.61
1613,161765.06
1614,120145.16
1615,86177.83
1616,79448.82
1617,91050.14
1618,125684.414
1619,141489.75
1620,142820.36
1621,138976.75
1622,139710.83
1623,301914.12
1624,212917.6
1625,119711.92
1626,168141.84
1627,181427.1
1628,279045.53
1629,174267.86
1630,372738.44
1631,220948.94
1632,252099.27
1633,170148.03
1634,183751.55
1635,188069.06
1636,156496.17
1637,179665.34
1638,198945.95
1639,183255.58
1640,263327.9
1641,177364.67
1642,220170.25
1643,224723.73
1644,227880.0
1645,180722.53
1646,152994.03
1647,157141.95
1648,132423.5
1649,136908.92
1650,119401.9
1651,119402.81
1652,92157.51
1653,96330.84
1654,154151.94
1655,154696.69
1656,146610.19
1657,154243.84
1658,142297.47
1659,140064.36
1660,153794.95
1661,451620.5
1662,394197.88
1663,398279.34
1664,427733.72
1665,309033.75
1666,323242.22
1667,369835.0
1668,329073.94
1669,287474.56
1670,340489.34
1671,253745.0
1672,431970.78
1673,303941.6
1674,246372.61
1675,181315.38
1676,178628.98
1677,215216.11
1678,429787.6
1679,366988.44
1680,318058.75
1681,256875.92
1682,297710.28
1683,173592.11
1684,168088.3
1685,174163.53
1686,171888.4
1687,168459.16
1688,181184.52
1689,192877.08
1690,190398.33
1691,178157.06
1692,267723.53
1693,166619.17
1694,181320.2
1695,168426.39
1696,265613.0
1697,171180.39
1698,382421.06
1699,320254.22
1700,246032.16
1701,264250.94
1702,245782.16
1703,246341.12
1704,314623.84
1705,225201.52
1706,423134.44
1707,221203.0
1708,203911.4
1709,301095.25
1710,217427.22
1711,240533.48
1712,279532.7
1713,253655.97
1714,224287.19
1715,208487.2
1716,182186.34
1717,168213.22
1718,121614.73
1719,201488.5
1720,253726.88
1721,162130.94
1722,112611.875
1723,152841.48
1724,224677.45
1725,232660.83
1726,186525.27
1727,162084.1
1728,176487.12
1729,164522.92
1730,168852.73
1731,126577.68
1732,127251.72
1733,114084.45
1734,125536.6
1735,129091.93
1736,116277.56
1737,358249.28
1738,212123.11
1739,255672.47
1740,209423.0
1741,185561.66
1742,171015.44
1743,162232.25
1744,331850.72
1745,206465.83
1746,188642.1
1747,210030.64
1748,231395.12
1749,152432.75
1750,128557.26
1751,250031.77
1752,119765.47
1753,133000.36
1754,199611.88
1755,161995.56
1756,132076.14
1757,115374.555
1758,148938.84
1759,161563.39
1760,162531.28
1761,149582.4
1762,171168.97
1763,175796.88
1764,116302.97
1765,163614.47
1766,173277.19
1767,222517.34
1768,142094.6
1769,169558.73
1770,142064.5
1771,131591.34
1772,128843.234
1773,136764.19
1774,118381.67
1775,133724.16
1776,120793.016
1777,117770.79
1778,137251.05
1779,116998.695
1780,174856.36
1781,125684.55
1782,91945.68
1783,136351.77
1784,103158.56
1785,121359.73
1786,143269.44
1787,156364.44
1788,48053.043
1789,97444.06
1790,85567.63
1791,182538.34
1792,150290.92
1793,130392.95
1794,149397.36
1795,136131.4
1796,126381.91
1797,119272.05
1798,125767.4
1799,117898.0
1800,124228.81
1801,125949.59
1802,151005.23
1803,148816.47
1804,139642.77
1805,134228.98
1806,106342.164
1807,130407.266
1808,115660.766
1809,118953.41
1810,143145.7
1811,101582.0
1812,101158.38
1813,119145.39
1814,98006.9
1815,56058.316
1816,101095.12
1817,109862.1
1818,136231.4
1819,116340.555
1820,67302.38
1821,116022.46
1822,152709.06
1823,53682.97
1824,130741.61
1825,131859.8
1826,99795.9
1827,112510.53
1828,140873.75
1829,117780.22
1830,152604.08
1831,159670.61
1832,89603.836
1833,128298.586
1834,119640.914
1835,139993.98
1836,126701.34
1837,85152.38
1838,123843.89
1839,83143.82
1840,168754.55
1841,157813.56
1842,85024.25
1843,134805.38
1844,128605.08
1845,141050.53
1846,149741.83
1847,140942.83
1848,50479.316
1849,113080.44
1850,119688.85
1851,153063.66
1852,126456.29
1853,131778.72
1854,168948.42
1855,139482.25
1856,217770.84
1857,144790.23
1858,138957.8
1859,121171.33
1860,160832.86
1861,121108.836
1862,305142.25
1863,302601.06
1864,302601.06
1865,326223.88
1866,348903.75
1867,252598.16
